1:  Eloisa, Andrieli, Elen
2:  Alejandro, Phillip, Andrieli
3:  Andrieli, Elen, Phillip
4:  Rafael, Andrieli, Vinicius
5:  Elen, Phillip, Eloisa
6:  Vinicius, Elen, Phillip
7:  Alejandro, Laisa, Eloisa
9:  Alejandro, Rafael, Laisa
10: Rafael, Andrieli, Phillip
11: Phillip, Elen, Alejandro
12: Alejandro, Phillip, Eloisa
13: Andrieli, Alejandro, Laisa
14: Vinicius, Andrieli, Medisson
15: Medisson, Alejandro, Andrieli
16: Alejandro, Elen, Phillip

17: Phillip, Eloisa, Alejandro
18: Rafael, Eloisa, Elen
19: Alejandro, Vinicius, Eloisa
20: Andrieli, Laisa, Eloisa
21: Andrieli, Eloisa, Phillip
22: Vinicius, Laisa, Phillip
23: Eloisa, Andrieli, Elen
24: Rafael, Alejandro, Eloisa
25: Andrieli, Vinicius, Alejandro
26: Rafael, Vinicius, Medisson
27: Rafael, Vinicius, Phillip
28: Alejandro, Eloisa, Medisson
30: Vinicius, Medisson, Alejandro
31: Medisson, Eloisa, Andrieli
32: Medisson, Phillip, Alejandro
33: Rafael, Phillip, Vinicius
34: Eloisa, Rafael, Laisa
35: Andrieli, Medisson, Laisa
36: Eloisa, Medisson, Laisa
37: Laisa, Medisson, Rafael
39: Rafael, Elen, Phillip
40: Andrieli, Laisa, Elen
41: Alejandro, Phillip, Elen
42: Alejandro, Phillip, Rafael
44: Medisson, Laisa, Rafael
45: Medisson, Rafael, Andrieli
46: Eloisa, Medisson, Elen
47: Eloisa, Laisa, Phillip
48: Medisson, Alejandro, Andrieli
49: Vinicius, Medisson, Rafael
50: Phillip, Elen, Medisson
51: Alejandro, Rafael, Andrieli
52: Phillip, Alejandro, Andrieli
53: Elen, Alejandro, Vinicius
54: Laisa, Vinicius, Medisson
55: Elen, Vinicius, Eloisa
56: Medisson, Eloisa, Elen
57: Eloisa, Alejandro, Rafael
58: Phillip, Vinicius, Elen
59: Laisa, Alejandro, Rafael
60: Medisson, Rafael, Alejandro
